class, instance count, class indegree, class outdegree, classInstanceIndegreeMin,	classInstanceIndegreeAvg, classInstanceIndegreeMedian, classInstanceIndegreeMax, classInstanceOutdegreeMin,	classInstanceOutdegreeAvg, classInstanceOutdegreeMedian, classInstanceOutdegreeMax
<http://sw.opencyc.org/concept/Mx4rAu7tPpCSQdeeTei3nO_QvQ>, 18, 27, 17, 0, 1.05555555556, 0.0, 10, 6, 10.5, 10.0, 24
<http://sw.opencyc.org/concept/Mx4rvVjNlZwpEbGdrcN5Y29ycA>, 350, 483, 23, 0, 1.64857142857, 0.0, 112, 6, 9.71142857143, 10.0, 22
<http://sw.opencyc.org/concept/Mx4rvVjaApwpEbGdrcN5Y29ycA>, 7483, 9873, 40, 0, 0.0171054389951, 0.0, 16, 4, 5.08766537485, 4.0, 23
<http://sw.opencyc.org/concept/Mx4rvVj1FJwpEbGdrcN5Y29ycA>, 0, 40, 15, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rFGe-SEsrEd2AAADggVfs8g>, 8863, 8864, 6, 0, 0.0, 0.0, 0, 4, 5.98758885253, 6.0, 7
<http://sw.opencyc.org/concept/Mx4r0EwZ9r8aEdmAAAACs6hRjg>, 0, 3, 11, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rHIBS0h_TEdaAAABQ2rksLw>, 7091, 11057, 18, 0, 3.04005076858, 1.0, 1195, 6, 15.2709067832, 12.0, 181
<http://sw.opencyc.org/concept/Mx4rvVjTtJwpEbGdrcN5Y29ycA>, 42, 351, 35, 0, 0.928571428571, 0.0, 7, 4, 13.3571428571, 11.5, 32
<http://sw.opencyc.org/concept/Mx4rv6i4pJwpEbGdrcN5Y29ycA>, 45, 45, 13, 0, 0.0, 0.0, 0, 4, 6.95555555556, 7.0, 8
<http://sw.opencyc.org/concept/Mx4rvVjzBJwpEbGdrcN5Y29ycA>, 8, 54, 17, 0, 0.0, 0.0, 0, 4, 6.625, 7.0, 10
<http://sw.opencyc.org/concept/Mx8Ngh4rwP1535wpEbGdrcN5Y29ycB4rIcwFloGUQdeMlsOWYLFB2w>, 0, 5, 13, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rvi9EhJwpEbGdrcN5Y29ycA>, 7419, 7422, 11, 0, 0.54980455587, 0.0, 150, 4, 6.772610864, 6.0, 31
<http://sw.opencyc.org/concept/Mx4rvVjReJwpEbGdrcN5Y29ycA>, 4, 17, 19, 0, 1.25, 1.5, 2, 6, 9.5, 10.0, 12
