Entity	Relation	Value	Iteration of Promotion	Probability	Source	Entity literalStrings	Value literalStrings	Best Entity literalString	Best Value literalString	Categories for Entity	Categories for Value	Candidate Source
concept:politicsblog:the_new_teacher_project	concept:haswikipediaurl	http://en.wikipedia.org/wiki/The%20New%20Teacher%20Project	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"The New Teacher Project" 	"http://en.wikipedia.org/wiki/The%20New%20Teacher%20Project" 	The New Teacher Project	http://en.wikipedia.org/wiki/The%20New%20Teacher%20Project			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:visualartist:carl_holty	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Carl%20Holty	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Carl Holty" 	"http://en.wikipedia.org/wiki/Carl%20Holty" 	Carl Holty	http://en.wikipedia.org/wiki/Carl%20Holty			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personaustralia:billy_bodin	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Billy%20Bodin	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Billy Bodin" 	"http://en.wikipedia.org/wiki/Billy%20Bodin" 	Billy Bodin	http://en.wikipedia.org/wiki/Billy%20Bodin			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:visualartist:maxime_dethomas	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Maxime%20Dethomas	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Maxime Dethomas" 	"http://en.wikipedia.org/wiki/Maxime%20Dethomas" 	Maxime Dethomas	http://en.wikipedia.org/wiki/Maxime%20Dethomas			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:sportsevent:piet_rooijakkers	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Piet%20Rooijakkers	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Piet Rooijakkers" 	"http://en.wikipedia.org/wiki/Piet%20Rooijakkers" 	Piet Rooijakkers	http://en.wikipedia.org/wiki/Piet%20Rooijakkers			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mollusk:cardita	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Cardita	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Cardita" 	"http://en.wikipedia.org/wiki/Cardita" 	Cardita	http://en.wikipedia.org/wiki/Cardita			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:language:somali_phonology	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Somali%20phonology	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Somali phonology" 	"http://en.wikipedia.org/wiki/Somali%20phonology" 	Somali phonology	http://en.wikipedia.org/wiki/Somali%20phonology			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:bacteria:archonias_brassolis	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Archonias%20brassolis	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Archonias brassolis" 	"http://en.wikipedia.org/wiki/Archonias%20brassolis" 	Archonias brassolis	http://en.wikipedia.org/wiki/Archonias%20brassolis			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mollusk:bulimulus_amastroides	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Bulimulus%20amastroides	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Bulimulus amastroides" 	"http://en.wikipedia.org/wiki/Bulimulus%20amastroides" 	Bulimulus amastroides	http://en.wikipedia.org/wiki/Bulimulus%20amastroides			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personasia:yokoyama_yu	concept:haswikipediaurl	http://en.wikipedia.org/wiki/You%20Yokoyama	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Yokoyama Yu" 	"http://en.wikipedia.org/wiki/You%20Yokoyama" 	Yokoyama Yu	http://en.wikipedia.org/wiki/You%20Yokoyama			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
