<Battle_of_Sulcoit>	Battle of Sulcoit
<Young_Teazer>	Young Teazer
<Battle_of_Shela>	Battle of Shela
<Siege_of_Nicaea_(727)>	Siege of Nicaea (727)
<Lwów_pogrom_(1918)>	Lwów pogrom (1918)
<7_July_2005_London_bombings>	7 July 2005 London bombings
<Byzantine_civil_war_of_1373–79>	Byzantine civil war of 1373-79
<Battle_of_Solferino>	Battle of Solferino
<Battle_of_Debecka_Pass>	Battle of Debecka Pass
<Battle_of_Kelly's_Ford>	Battle of Kelly's Ford
<Helmand_province_campaign>	Helmand province campaign
<Oka_Crisis>	Oka Crisis
<Anti-Communism_in_the_Communist_Bloc>	Anti-Communism in the Communist Bloc
<Darfur_conflict>	Darfur conflict
<Million_Voices_Against_Corruption,_President_Chen_Must_Go>	Million Voices Against Corruption
<Mexican_Indian_Wars>	Mexican Indian Wars
<it/Guerra_di_Valtellina>	Guerra di Valtellina
<Action_of_12–17_January_1640>	Action of 12–17 January 1640
<South_African_Wars_(1879–1915)>	South African Wars (1879–1915)
<Battle_of_Mortimer's_Cross>	Battle of Mortimer's Cross
<Battle_of_Azcapotzalco>	Battle of Azcapotzalco
<Battle_of_Trent's_Reach>	Battle of Trent's Reach
<Ottoman_wars_in_Europe>	Ottoman wars in Europe
<Battle_of_the_River_Dee>	Battle of the River Dee
<Battle_of_Driefontein>	Battle of Driefontein
<Toluid_Civil_War>	Toluid Civil War
<Operation_Pedestal>	Pedestal
<War_of_Chioggia>	War of Chioggia
<Battle_of_Marj_Rahit_(684)>	Battle of Marj Rahit
<Battle_of_Oxus_River>	Battle of Oxus River
<Battle_of_Charasiab>	Battle of Charasiab
<Battle_of_the_Kondurcha_River>	Battle of the Kondurcha River
<Battle_of_Old_Church>	Battle of Old Church
<First_Messenian_War>	First Messenian War
<Second_Battle_of_Garua>	Second Battle of Garua
<Battle_of_Gloucester_(1775)>	Battle of Gloucester (1775)
<Siege_of_Shigisan>	Siege of Shigisan
<Romanian_Revolution_of_1989>	Romanian Revolution of 1989
<Action_of_6_November_1794>	Action of 6 November 1794
<Operation_Brushwood>	Operation Brushwood
<Convoy_OB_293>	Convoy OB 293
<Battle_of_Pingxingguan>	Battle of Pingxingguan
<Operation_Blackcock>	Operation Blackcock
<1926_Lithuanian_coup_d'état>	1926 Lithuanian coup d'etat
<Battle_of_Barry>	Battle of Barry
<Fort_Mims_massacre>	Fort Mims massacre
<Second_Battle_of_Bin_Jawad>	Second Battle of Bin Jawad
<Battle_of_Nagara-gawa>	Battle of Nagara-gawa
<Battle_of_Smolensk_(1943)>	Battle of Smolensk (1943)
<Expedition_of_Abu_Amir_Al-Ashari>	Expedition of Abu Amir Al-Ashari
<de/Schlacht_bei_Ragaz>	Schlacht bei Ragaz
<Battle_of_Yancheng>	Battle of Yancheng
<Battle_of_the_300_Champions>	Battle of the 300 Champions
<Machita_Incident>	Machita Incident
<Battle_of_Kilsyth>	Battle of Kilsyth
<Expedition_of_Muhammad_ibn_Maslamah>	Expedition of Muhammad ibn Maslamah
<Expédition_d'Irlande>	Expédition d'Irlande
<de/Bauernaufstände_in_Oberösterreich>	Bauernaufstände in Oberösterreich
<Battle_of_Gavinana>	Battle of Gavinana
<fr/Siège_de_Charleroi_(1693)>	Siège de Charleroi (1693)
<fr/Combat_de_Notre-Dame-de-Lorette>	Combat de Notre-Dame-de-Lorette
<Operation_Gauntlet>	Operation Gauntlet
<Anglo-Aro_War>	Anglo-Aro War
<Attack_on_Ballygawley_barracks>	Attack on Ballygawley barracks
<First_Battle_of_Mount_Hermon>	First Battle of Mount Hermon
<Action_of_4_April_1808>	Action of 4 April 1808
<Battle_for_Cebu_City>	Battle for Cebu City
<it/Bombardamento_di_Propaganda_Fide>	Bombardamento di Propaganda Fide
<Great_Slav_Rising>	Great Slav Rising
<Battle_of_Veillane>	Battle of Veillane
<Simpang_KKA_incident>	Simpang KKA incident
<Invasion_of_Banu_Mustaliq>	Invasion of Banu Mustaliq
<Battle_of_Damascus_(2012)>	Battle of Damascus (2012)
<Operation_Kingfisher>	Operation Kingfisher
<de/Operation_Tornado>	Operation Tornado
<First_Battle_of_Jaunde>	First Battle of Jaunde
<Battle_of_the_Clearwater>	Battle of the Clearwater
<fr/Ordre_de_bataille_lors_de_la_bataille_de_Sarrebruck>	Ordre de bataille lors de la bataille de Sarrebruck
<Baltimore_crisis>	Baltimore crisis
<de/Gefecht_bei_Frohnhofen>	Gefecht bei Frohnhofen
<Malaita_massacre>	Malaita massacre
<Al-Qaeda_insurgency_in_Yemen>	Internal conflict in Yemen
<Battle_of_Călugăreni>	Battle of Călugăreni
<it/Operazione_Hawthorne>	Operazione Hawthorne
<Battle_of_Mud_Springs>	Battle of Mud Springs
<Siege_of_Kuragano>	Siege of Kuragano
<Siege_of_Louisbourg_(1758)>	Siege of Louisbourg (1758)
<nl/Bloedbad_van_Zutphen>	Bloedbad van Zutphen
<Battle_of_Shiojiritoge>	Battle of Shiojiritoge
<Battle_of_Aidabasalala>	Battle of Aidabasalala
<Battle_of_Brignais>	Battle of Brignais
<es/Guerra_de_Cabo_Frío>	Guerra de Cabo Frío
<First_Battle_of_Polotsk>	First Battle of Polotsk
<nl/Inval_van_de_Veluwe_(1629)>	Inval van de Veluwe
<Siege_of_Riga_(1656)>	Siege of Riga
<Battle_of_Spanish_Fort>	Battle of Spanish Fort
<Challenge_of_Barletta>	Challenge of Barletta
<Franco-Spanish_War_(1635–59)>	Franco-Spanish War (1635-59)
<Action_of_27_March_1942>	Action of 27 March 1942
<Siege_of_Bactra>	Siege of Bactra
<Battle_of_Theiningen>	Battle of Theiningen
<Operation_Manta>	Operation Manta
<Battle_of_Failaka>	Battle of Failaka
<Iranian_coup_d'etat_(1953)>	Iranian coup d'etat (1953)
<1990–98_Indonesian_military_operations_in_Aceh>	1990–98 Indonesian military operations in Aceh
<Battle_of_Bazeilles>	Battle of Bazeilles
<Battle_of_Grimball's_Landing>	Battle of Grimball's Landing
<Battles_on_Amur_River_(1900)>	Battles on Amur River (1900)
<Battle_of_Port_Arthur>	Battle of Port Arthur
<Battle_of_Ménfő>	Battle of Ménfő
<Spillover_from_the_Syrian_Civil_War>	Spillover from the Syrian Civil War
<Hundred_Days'_War>	Hundred Days' War
<Narváez_expedition>	Narvaez expedition
<Battle_of_Borodino>	Battle of Borodino
<Battle_of_Las_Guasimas>	Battle of Las Guasimas
<Vadamarachchi_Operation>	Vadamarachchi Operation
<Battle_of_Shiting>	Battle of Shiting
<fr/Bombardement_de_Salé>	Bombardement de Sale
<Battle_of_Narela>	Battle of Narela
<Tondern_raid>	Tondern raid
<Battle_of_Turnhout_(1789)>	Battle of Turnhout (1789)
<First_Transjordan_attack_on_Amman>	First Transjordan attack on Amman
<Tunisia_Campaign>	Tunisia Campaign
<Battle_of_Maella>	Battle of Maella
